Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CFT97 - R48962: X - PO-3113,R48962: CFT97,Material Prep,rec0KSDpEezS4dzQ4,1506.7
CFT97 - R44259: X - PO-3113,R44259: CFT97,Material Prep,recLi9qrNy4EeIqp1,1530.0
CFT97 - R47902: X - PO-3113,R47902: CFT97,Material Prep,recvdj9mnI73VV3tz,1510.0
CFT97 - R47408: X - PO-3113,R47408: CFT97,Material Prep,recUKDtRI6G80t3Y5,1536.7
CFT97 - R31083: X - PO-3113,R31083: CFT97,Material Prep,recqudqAssiPnyLzv,1520.0
CFT97 - R51425: X - PO-3113,R51425: CFT97,Material Prep,recdSM6x44znv3Lit,1530.0
CFT97 - R51423: X - PO-3113,R51423: CFT97,Material Prep,recQhYzUP0umTuiDN,1570.0
CFT97 - R51980: X - PO-7026,R51980: CFT97,Material Prep,recKf45an9cIICUQs,1536.7
CFT97 - R48779: X - PO-7026,R48779: CFT97,Material Prep,recWaRFeJR5g0x9Ra,1546.7
CFT97 - R42082: X - PO-3113,R42082: CFT97,Material Prep,recWj1UakIgKsHm30,1500.0
CFT97 - R46488: X - PO-3113,R46488: CFT97,Material Prep,recMZFpHShFI0TbOl,1520.0
CFT97 - R47043: X - PO-3113,R47043: CFT97,Material Prep,recVb85nhH7Mon2XA,1543.3
CFT97 - R47069: X - PO-3113,R47069: CFT97,Material Prep,recBojkRr4ZS89CjG,1550.0
CFT97 - R46492: X - PO-3113,R46492: CFT97,Material Prep,recWAh606v0aF2QTE,1510.0
CFT97 - R46490: X - PO-3113,R46490: CFT97,Material Prep,reciUQe8AOioy6ipI,1540.0
CFT97 - R48802: X - PO-7026,R48802: CFT97,Material Prep,recB5DmOQtfVXBZak,1513.3
CFT97 - R52151: X - PO-7026,R52151: CFT97,Material Prep,recC9I3bPcilBGmHk,1430.0
CFT97 - R52403: X - PO-7026,R52403: CFT97,Material Prep,recUp7gC2bwpvIJzt,1600.0
CFT97 - R48802: X - PO-7026,R48802: CFT97,Material Prep,recg0rtdw8Hakzkkp,1600.0
CFT97 - R51027: X - PO-7026,R51027: CFT97,Material Prep,recz144S9cVzE04bu,1600.0
CFT97 - R52156: X - PO-7026,R52156: CFT97,Material Prep,recb6AQREF6y9OtnX,1543.3
CFT97 - R52290: X - PO-7026,R52290: CFT97,Material Prep,rec74MeEeW5wjcVlL,1536.7
CFT97 - R52405: X - PO-7026,R52405: CFT97,Material Prep,recyReOBEwVaE1gbm,1520.0
CFT97 - R51027: X - PO-7026,R51027: CFT97,Material Prep,rec4eLwqJNiXIKbo2,1456.7
CFT97 - R52543: X - PO-7026,R52543: CFT97,Material Prep,recfqf0k09K9baHe8,1440.0
CFT97 - R51052: X - PO-7026,R51052: CFT97,Material Prep,rec5DzoMBnn4d9WKz,1520.0
CFT97 - R52595: X - PO-7026,R52595: CFT97,Material Prep,recBYVeINjuCFze3D,1520.0
CFT97 - R52597: X - PO-7026,R52597: CFT97,Material Prep,recYL7gyEp4YMBUrT,1500.0
CFT97 - R42130: X - PO-3113,R42130: CFT97,Scour: Wash,rec1kR6w8hY8RnNEA,1523.3
CFT97 - R42223: X - PO-3113,R42223: CFT97,Scour: Wash,recyhxeutOBghFMqk,1583.3
CFT97 - R42129: X - PO-3113,R42129: CFT97,Scour: Wash,rec9H1kADt6VuYLMZ,1533.3
CFT97 - R42235: X - PO-3113,R42235: CFT97,Scour: Wash,reclNRMzpQfEp6trz,1580.0
CFT97 - R42051: X - ,R42051: CFT97,Material Prep,recIykK4zGKixXIOt,1583.3
CFT97 - R42052: X - ,R42052: CFT97,Scour: Wash,recVL597xDE3SJ0je,1590.0
CFT97 - R42100: X - PO-3113,R42100: CFT97,Scour: Wash,recNiG7bmAYwtTGFT,1500.0
CFT97 - R52605: X - PO-3113,R52605: CFT97,Scour: Wash,recxX75RthVcY2j71,1563.3
CFT97 - R52603: X - PO-3113,R52603: CFT97,Scour: Wash,recqMODGLMfoef3Lg,1500.0
CFT97 - R42131: X - PO-3113,R42131: CFT97,Scour: Wash,recDvJycX2deXHQXC,1580.0
CFT97 - R52612: X - PO-3113,R52612: CFT97,Scour: Wash,recBR7ogdNK5pIGYw,1586.7
CFT97 - R42051: X - ,R42051: CFT97,Material Prep,recYHIpMwHh4kUwkO,1356.7
CFT97 - R53773: X - PO-8310,R53773: CFT97,Material Prep,recBD9QGBLBprBc1N,1713.3
CFT97 - R53786: X - PO-8310,R53786: CFT97,Material Prep,rec4vCY8zmxiUn5Li,1713.3
CFT97 - R53781: X - PO-8310,R53781: CFT97,Material Prep,rec8sSykTOX6eG1KV,1713.3
CFT97 - R53752: X - PO-8310,R53752: CFT97,Material Prep,recaoWBo5cyhwKUai,1736.7
CFT97 - R53788: X - PO-8310,R53788: CFT97,Material Prep,recZUyKt3EiyYwMm2,1716.7
